,ATL,BOS,BRK,CHO,CHI,CLE,DAL,DEN,HOU,DET,GSW,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS
ATL,,0.24,0.224,0.16449999999999998,0.226,0.14825,0.175,0.16749999999999998,,0.3,0.162,0.16225,0.168,0.116,0.253,0.2715,,0.13,,0.2005,0.125,,0.149,,,0.264,,0.151,,0.3275
BOS,0.188,,,0.1895,0.1255,0.141,0.14,0.115,0.309,0.2145,,0.068,,,0.2,,0.2085,0.247,0.1185,0.23700000000000002,0.279,0.077,0.13,0.194,0.086,,0.159,0.148,0.174,0.24
BRK,0.341,,,0.16499999999999998,0.27,0.1145,0.16,0.318,0.141,0.2005,0.194,0.248,0.295,0.143,0.266,0.1975,0.304,0.21350000000000002,0.102,0.20550000000000002,0.267,,0.3235,0.194,,,,0.092,0.233,0.30000000000000004
CHO,0.25825,0.198,0.14350000000000002,,0.23349999999999999,0.10500000000000001,,0.395,,0.26575000000000004,,0.238,,0.163,,0.22849999999999998,0.20550000000000002,0.122,0.231,0.171,0.17149999999999999,0.269,0.2475,,,,,0.155,0.084,0.211
CHI,0.157,0.109,0.077,0.276,,0.1815,0.2,0.141,0.291,0.1845,0.223,0.0715,,,,0.202,0.17149999999999999,0.1885,0.135,0.232,0.16799999999999998,0.218,0.089,0.259,,0.171,0.1545,0.187,,0.241
CLE,0.25,0.364,0.1925,0.11374999999999999,0.1195,,,0.217,0.244,0.22499999999999998,0.18,0.1715,,0.137,0.129,0.235,0.161,0.21000000000000002,,0.187,0.08449999999999999,0.1,0.127,,,0.173,,0.28775,,0.17600000000000002
DAL,0.3015,0.149,0.41,,0.22799999999999998,,,0.267,0.1905,,0.226,,0.252,0.22699999999999998,0.205,,,0.255,0.28475,0.185,0.26375,0.256,,0.22049999999999997,0.2335,0.25,0.132,0.207,0.27949999999999997,0.317
DEN,0.1885,0.222,0.287,0.208,0.111,0.212,0.156,,0.158,,0.279,,0.2925,0.15899999999999997,0.20850000000000002,,0.1105,0.056,0.155,,0.174,0.22050000000000003,,0.27249999999999996,0.218,0.131,0.166,0.161,0.145,
HOU,,0.314,0.265,,0.20350000000000001,0.257,0.15,0.254,,0.326,0.241,0.254,0.174,0.263,0.386,0.28,,0.216,0.234,,0.099,,,,0.1735,0.247,0.17525000000000002,,0.2165,0.202
DET,0.16449999999999998,0.26675,0.265,0.16225,0.154,0.21000000000000002,,,0.3295,,0.133,0.121,,,,0.171,0.1365,0.181,0.133,0.4,0.16,0.21400000000000002,0.213875,0.172,,,,0.088,,0.225
GSW,0.226,,0.22049999999999997,,0.198,0.247,0.1615,0.241,0.237,0.212,,,0.2515,0.172,0.277,,0.131,0.1985,0.236,0.115,0.186,0.25,,0.263,0.19349999999999998,0.2825,0.198,0.1375,0.1815,0.25
IND,0.24025,0.221,0.16749999999999998,0.19,0.249,0.1915,,,0.2615,0.161,,,,0.256,0.084,0.1875,0.1915,0.12,,0.16999999999999998,,0.161,0.1745,0.244,0.144,0.189,0.0655,0.138,0.14250000000000002,0.1635
LAC,0.398,,0.211,,,,0.24,0.2005,0.3675,,0.309,,,0.352,0.3165,0.281,0.222,0.227,0.265,,0.29475,0.291,0.326,0.2925,0.30525,0.21550000000000002,0.31575,0.186,,0.1235
LAL,0.163,,0.144,0.174,,0.256,0.22899999999999998,0.1725,0.149,,0.235,0.151,0.276,,0.14650000000000002,0.161,,0.1085,0.196,,,0.243,,0.1775,0.22925,0.12425,0.18725000000000003,0.271,0.139,0.121
MEM,0.37,0.316,0.188,,,0.25,0.152,0.258,0.196,,0.185,0.274,0.16399999999999998,0.1335,,0.229,0.217,0.22,0.253,0.128,,,0.1675,0.2645,0.20650000000000002,0.127,0.222,0.212,0.2465,0.297
MIA,0.23249999999999998,,0.1825,0.2215,0.218,0.132,,,0.215,0.204,,0.1375,0.304,0.1335,0.159,,0.18,0.244,0.16849999999999998,0.232,,0.12325,0.351,0.186,0.177,0.261,0.14,0.152,0.1845,0.2425
MIL,,0.267,0.146,0.1825,0.16249999999999998,0.164,,0.1215,,0.2095,0.191,0.125,0.152,,0.272,0.19,,0.087,0.282,0.21,,0.256,0.28,0.23,0.10300000000000001,0.316,0.256,0.179,,
MIN,0.214,0.317,0.244,0.146,0.183,0.271,0.405,0.278,0.244,0.233,0.2,0.259,0.282,0.1765,0.163,0.309,0.116,,0.2075,,0.217,,,0.146,0.16375,0.2585,0.24775,0.104,0.186,
NOP,,0.256,0.204,0.233,0.128,,0.21375,0.2635,0.15699999999999997,0.253,0.228,,0.243,0.078,0.238,0.22799999999999998,0.109,0.1675,,0.225,0.27249999999999996,,0.255,0.279,0.33,0.23299999999999998,0.16949999999999998,0.081,0.232,0.21050000000000002
NYK,0.26875000000000004,0.176,0.1985,0.1345,0.245,0.138,0.226,,,0.297,0.1,0.21750000000000003,,,0.297,0.099,0.134875,,0.1965,,0.205,0.2915,0.2595,0.212,0.205,,,0.188,0.209,0.181
OKC,0.159,0.149,0.152,0.1955,0.2365,0.177,0.1825,0.16749999999999998,0.1765,0.2,0.1695,,0.2005,,,,,0.189,0.216,0.105,,,,0.188125,,0.15475,,,0.243,0.244
ORL,,0.075,,0.129,0.203,0.149,0.045,0.137,,0.1695,0.178,0.112,0.122,0.172,,0.2585,0.149,,,0.182,,,0.2135,0.1735,0.1795,0.176,0.1275,0.1915,0.236,0.138
PHI,0.172,0.20550000000000002,0.2595,0.32875,0.29,0.21600000000000003,,,,0.29125,,0.2275,0.226,,0.2145,0.373,0.228,,0.235,0.188,,0.10600000000000001,,0.369,0.198,,0.051,0.24475,0.2105,0.255
