Unnamed: 0,ATL,BOS,BRK,CHO,CHI,CLE,DAL,DEN,HOU,DET,GSW,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS
ATL,0.0,106.175,108.2,110.762,114.087,113.975,104.15,93.55,110.9,109.85,105.8,115.187,118.3,103.55,120.5,113.9,104.125,114.25,118.75,100.187,118.4,100.125,120.8,114.85,104.5,104.65,104.85,103.5,110.0,120.362
BOS,116.925,0.0,102.612,120.675,122.4,119.35,112.2,108.25,113.65,112.075,116.6,110.353,106.8,122.75,119.95,111.85,94.167,119.55,120.45,115.825,114.2,103.6,114.887,106.95,97.75,114.35,106.2,106.175,104.55,113.2
BRK,117.175,106.05,0.0,111.587,107.9,111.275,119.4,119.4,123.9,105.275,111.3,113.7,115.85,108.8,109.8,100.925,116.212,107.9,120.15,111.225,103.8,99.75,100.753,109.9,108.65,118.1,105.0,107.387,93.1,111.662
CHO,119.85,114.225,117.987,0.0,132.75,126.6,89.75,115.95,108.55,113.637,101.05,110.525,113.65,105.75,119.8,95.175,107.887,107.15,109.55,110.275,102.9,115.85,110.937,126.75,103.45,106.65,114.35,116.7,107.25,117.025
CHI,111.8,105.15,113.337,121.975,0.0,109.087,102.4,108.6,96.45,108.537,113.65,104.55,108.95,103.5,117.25,106.475,103.462,96.1,110.4,98.725,100.2,104.15,107.75,118.1,109.95,94.7,107.85,96.85,92.75,111.35
CLE,112.475,105.487,104.712,107.625,103.637,0.0,116.2,109.05,116.5,121.0,114.5,108.0,110.85,106.7,105.25,110.387,104.0,110.3,110.8,120.275,86.75,101.725,109.625,114.35,119.75,110.85,104.15,115.75,96.95,108.787
DAL,104.35,106.0,103.4,112.15,107.85,125.9,0.0,109.85,109.55,107.2,124.4,111.85,114.662,99.15,111.787,101.35,105.05,116.825,111.675,113.7,104.725,107.35,108.35,107.962,111.687,118.0,103.95,112.8,111.65,124.0
DEN,111.0,116.9,116.05,119.5,125.1,132.2,114.85,0.0,111.287,101.15,100.775,101.75,114.287,116.675,105.325,109.6,109.5,115.937,106.237,120.9,117.862,119.55,116.25,120.412,111.056,118.975,109.351,105.85,108.4,107.15
HOU,123.15,126.7,126.95,117.05,108.4,124.85,111.25,124.625,0.0,120.05,113.913,113.6,122.075,113.937,119.8,117.5,99.0,114.65,115.8,114.55,109.812,110.65,99.45,127.9,108.5,129.887,115.0,118.4,103.373,130.449
DET,114.225,107.375,91.45,101.612,125.287,129.425,106.7,112.6,121.55,0.0,121.3,98.962,109.65,110.95,111.0,98.137,101.61,127.65,105.35,120.825,93.4,119.2,106.575,123.0,112.4,105.55,108.05,112.875,99.5,110.925
GSW,117.45,102.75,122.95,130.85,144.05,130.35,107.437,115.312,117.239,120.8,0.0,121.95,124.568,107.562,118.287,125.65,103.8,114.512,118.2,125.35,104.325,106.4,109.8,113.375,114.198,118.95,113.35,112.13,111.95,128.65
IND,119.625,103.529,114.35,117.3,111.112,120.037,113.45,119.1,105.05,115.187,94.5,0.0,110.7,114.9,113.25,102.625,99.925,108.6,113.7,111.475,104.25,116.587,96.4,117.95,102.0,107.05,112.45,108.475,124.8,109.175
LAC,119.45,123.9,121.4,124.05,114.85,124.05,117.1,98.087,112.025,112.2,114.364,101.85,0.0,110.275,106.062,107.35,113.1,118.575,115.45,124.75,107.575,114.35,107.45,126.162,114.437,119.487,103.562,101.75,112.45,120.6
LAL,102.25,116.95,104.0,126.15,115.0,105.75,106.925,101.75,112.387,110.75,96.412,97.85,109.7,0.0,106.825,114.55,107.1,102.387,115.5,113.15,102.425,107.25,107.65,117.687,108.6,108.8,115.3,97.95,106.312,109.3
MEM,116.7,112.2,108.05,109.4,110.0,107.1,118.575,102.6,112.837,103.25,117.662,99.9,97.075,105.425,0.0,114.4,107.4,106.55,101.262,104.25,105.85,111.0,101.95,116.875,100.425,101.212,105.625,108.2,110.987,119.7
MIA,107.362,106.587,99.45,105.587,102.975,127.387,110.0,99.15,117.05,111.0,125.1,94.95,112.0,104.6,118.3,0.0,91.925,106.2,110.45,106.3,107.5,107.2,114.175,116.1,120.4,99.35,106.75,107.012,96.35,115.887
MIL,113.4,110.378,119.987,118.262,114.762,117.137,117.5,116.25,109.2,122.6,109.75,111.712,117.15,119.2,110.65,114.662,0.0,125.75,116.25,111.337,106.9,98.775,114.8,107.05,119.35,124.55,121.65,107.977,111.15,124.925
MIN,109.35,108.25,116.55,112.3,116.45,117.9,115.9,106.562,112.875,116.0,109.35,110.05,113.025,115.15,111.275,111.75,105.95,0.0,111.175,107.5,123.462,118.45,106.05,111.15,111.937,111.5,112.487,102.15,108.662,117.7
NOP,108.55,105.2,118.55,111.6,117.3,136.5,116.675,109.05,106.45,107.35,109.875,105.6,118.275,101.737,103.65,104.6,104.95,112.862,0.0,113.05,117.65,90.9,105.4,116.55,110.575,123.05,110.875,109.1,103.425,112.2
NYK,108.912,102.487,106.462,103.075,105.85,114.1,107.55,107.65,101.05,99.912,97.75,102.962,109.2,116.9,100.4,94.125,99.0,96.65,113.3,0.0,104.6,104.587,104.075,101.7,111.45,100.8,109.85,95.387,107.0,111.45
OKC,117.75,108.85,110.95,107.35,111.6,100.15,105.5,108.037,113.55,112.7,98.25,107.5,105.275,109.6,106.225,111.0,114.9,123.212,114.937,125.8,0.0,120.25,109.3,113.737,109.681,108.737,110.925,111.95,107.325,114.35
ORL,123.275,108.875,104.45,122.837,110.512,113.4,96.8,103.55,111.75,108.162,106.8,118.55,96.7,115.45,108.7,105.637,101.175,115.2,117.1,115.437,111.4,0.0,122.112,110.6,117.8,93.15,109.75,96.076,97.85,104.125
PHI,118.65,112.712,114.916,113.95,123.287,116.55,101.75,111.9,105.1,116.337,112.95,110.412,114.5,126.25,103.1,106.7,109.9,130.5,106.3,117.975,110.25,112.125,0.0,118.9,101.8,114.4,113.45,105.391,113.9,113.45
PHO,108.1,107.85,94.5,113.6,106.65,112.3,104.312,100.375,107.175,106.8,107.65,99.65,107.775,113.762,109.525,109.0,112.5,99.225,116.05,115.9,100.475,103.85,114.15,0.0,104.5,103.625,109.075,105.6,97.812,119.35
POR,118.9,103.5,117.25,124.25,127.05,135.95,114.562,112.848,116.525,110.7,108.989,111.6,127.612,108.512,112.037,110.75,108.05,120.837,123.575,118.7,114.0,126.7,125.15,116.825,0.0,122.275,115.05,124.9,117.212,108.95
SAC,128.85,110.6,102.75,100.4,117.5,127.4,125.925,113.475,108.512,111.6,116.312,102.3,109.937,103.0,103.175,106.95,108.15,104.587,118.762,108.3,107.462,104.6,113.3,112.9,120.625,0.0,118.875,101.8,101.562,105.9
SAS,111.2,120.7,98.25,102.3,105.6,118.7,112.7,108.568,107.012,120.95,109.975,107.15,106.487,120.225,105.975,100.55,122.3,116.125,116.3,117.5,117.025,127.0,126.5,117.7,115.362,110.05,0.0,122.2,107.225,133.85
TOR,117.475,116.125,114.762,120.675,115.837,110.837,118.8,99.3,110.8,109.525,116.716,111.15,123.0,110.85,127.5,117.637,114.827,115.4,111.55,119.4,112.35,114.175,107.899,111.2,122.8,113.4,114.4,0.0,123.7,116.525
