,ATL,BOS,BRK,CHO,CHI,CLE,DAL,DEN,HOU,DET,GSW,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS
ATL,0.0,106.55,101.2,104.4,101.7,102.82499999999999,104.69999999999999,106.4,0.0,102.35,101.15,100.875,107.1,103.9,106.0,103.6,0.0,100.5,0.0,104.05,107.5,0.0,105.5,0.0,0.0,112.9,0.0,99.7,0.0,106.69999999999999
BOS,106.55,0.0,0.0,98.65,96.65,94.0,97.4,96.7,97.4,102.1,0.0,96.6,0.0,0.0,95.0,0.0,100.25,99.4,98.35,100.375,100.0,96.4,102.6,97.25,95.2,0.0,98.6,97.55,96.0,98.6
BRK,101.2,0.0,0.0,96.55,90.7,93.15,98.5,97.8,92.4,99.55,96.0,97.35,98.3,104.4,92.5,102.30000000000001,103.6,99.55000000000001,102.5,94.42500000000001,102.5,0.0,101.075,97.8,0.0,0.0,0.0,96.6,101.2,97.6
CHO,104.4,98.65,96.55,0.0,95.65,94.475,0.0,95.6,0.0,93.8,0.0,93.6,0.0,106.0,0.0,98.8,101.15,99.5,101.8,101.55,102.45,99.4,103.375,0.0,0.0,0.0,0.0,100.2,97.7,104.3
CHI,101.7,96.65,90.7,95.65,0.0,92.2,101.25,92.0,99.85,98.6,104.6,96.15,0.0,0.0,0.0,103.8,102.9,98.85,104.4,92.5,104.6,90.85,108.4,105.2,0.0,99.1,95.05,100.44999999999999,0.0,92.9
CLE,102.82499999999999,94.0,93.15,94.475,92.2,0.0,0.0,87.4,92.2,92.65,93.8,92.35,0.0,95.3,90.5,93.3,99.2,98.45,0.0,99.5,97.4,95.2,94.35,0.0,0.0,96.8,0.0,95.725,0.0,96.44999999999999
DAL,104.69999999999999,97.4,98.5,0.0,101.25,0.0,0.0,98.9,92.35,0.0,101.15,0.0,100.80000000000001,105.35,95.1,0.0,0.0,109.0,99.225,96.4,104.94999999999999,95.6,0.0,95.25,100.65,103.3,100.1,100.7,99.375,98.2
DEN,106.4,96.7,97.8,95.6,92.0,87.4,98.9,0.0,89.2,0.0,97.7,0.0,99.75,101.15,88.0,0.0,96.9,95.1,102.8,0.0,97.25,93.85,0.0,99.65,94.2,100.3,96.65,95.05000000000001,95.2,0.0
HOU,0.0,97.4,92.4,0.0,99.85,92.2,92.35,89.2,0.0,94.05,85.9,93.69999999999999,100.80000000000001,101.05,92.25,92.7,0.0,92.0,100.75,0.0,96.05,0.0,0.0,0.0,93.9,105.1,93.85,0.0,100.775,97.5
DET,102.35,102.1,99.55,93.8,98.6,92.65,0.0,0.0,94.05,0.0,99.2,99.9,0.0,0.0,0.0,103.8,102.15,98.0,98.8,103.2,104.2,99.1,99.6875,97.8,0.0,0.0,0.0,105.1,0.0,96.8
GSW,101.15,0.0,96.0,0.0,104.6,93.8,101.15,97.7,85.9,99.2,0.0,0.0,100.1,103.6,97.2,0.0,104.05000000000001,100.85,104.8,99.7,102.3,98.4,0.0,102.85,99.875,106.65,94.9,97.15,103.5,106.7
IND,100.875,96.6,97.35,93.6,96.15,92.35,0.0,0.0,93.69999999999999,99.9,0.0,0.0,0.0,101.8,93.5,101.45,102.15,99.3,0.0,95.4,0.0,97.8,97.75,94.4,95.3,101.55,96.45,97.1,96.95,101.05
LAC,107.1,0.0,98.3,0.0,0.0,0.0,100.80000000000001,99.75,100.80000000000001,0.0,100.1,0.0,0.0,109.4,96.55000000000001,103.3,104.2,96.1,100.80000000000001,0.0,103.07499999999999,99.7,106.7,98.65,98.175,102.5,101.975,95.5,0.0,105.25
LAL,103.9,0.0,104.4,106.0,0.0,95.3,105.35,101.15,101.05,0.0,103.6,101.8,109.4,0.0,94.9,96.5,0.0,100.55,104.7,0.0,0.0,103.0,0.0,104.8,106.675,103.975,103.65,103.0,103.1,110.7
MEM,106.0,95.0,92.5,0.0,0.0,90.5,95.1,88.0,92.25,0.0,97.2,93.5,96.55000000000001,94.9,0.0,88.0,99.0,94.0,96.9,93.8,0.0,0.0,96.5,94.69999999999999,93.4,95.64999999999999,92.3,92.2,93.6,95.5
MIA,103.6,0.0,102.30000000000001,98.8,103.8,93.3,0.0,0.0,92.7,103.8,0.0,101.45,103.3,96.5,88.0,0.0,99.6,99.7,94.15,99.6,0.0,93.95,96.5,99.7,99.9,108.9,97.1,94.45,96.5,100.0
MIL,0.0,100.25,103.6,101.15,102.9,99.2,0.0,96.9,0.0,102.15,104.05000000000001,102.15,104.2,0.0,99.0,99.6,0.0,106.1,103.3,102.36250000000001,0.0,105.4,111.3,103.9,102.35,109.6,103.9,101.05,0.0,0.0
MIN,100.5,99.4,99.55000000000001,99.5,98.85,98.45,109.0,95.1,92.0,98.0,100.85,99.3,96.1,100.55,94.0,99.7,106.1,0.0,100.1,0.0,101.8,0.0,0.0,100.2,98.82499999999999,104.95,97.175,97.3,103.0,0.0
NOP,0.0,98.35,102.5,101.8,104.4,0.0,99.225,102.8,100.75,98.8,104.8,0.0,100.80000000000001,104.7,96.9,94.15,103.3,100.1,0.0,105.1,105.85,0.0,107.5,97.4,104.5,109.1,100.6,101.2,108.6,106.55
NYK,104.05,100.375,94.42500000000001,101.55,92.5,99.5,96.4,0.0,0.0,103.2,99.7,95.4,0.0,0.0,93.8,99.6,102.36250000000001,0.0,105.1,0.0,102.4,100.9,99.95,104.2,96.0,0.0,0.0,100.0,100.3,97.1
