,ATL,BOS,BRK,CHO,CHI,CLE,DAL,DEN,HOU,DET,GSW,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS
ATL,0,0,0,121,0,0,0,111,0,0,0,0,0,103,0,0,0,0,0,111,0,0,0,0,0,0,0,0,0,107
BOS,90,0,0,0,0,0,116,119,0,102,0,0,0,0,0,0,0,0,0,115,95,0,0,0,105,0,0,108,0,0
BRK,0,0,0,0,0,0,0,0,0,103,0,0,0,0,0,0,0,117,0,112,0,0,0,0,0,0,0,0,0,0
CHO,122,0,0,0,0,0,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,0,0,0,0,0,0,0
CHI,0,0,0,0,0,0,99,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,109,102,0,99
CLE,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,117,0,0,0,0,0,127,0,0,0,0,134,0,0
DAL,0,0,0,0,0,0,0,0,116,0,0,0,0,0,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DEN,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,106,0,0,0,0,0,0,0,0,0,0,97,0,0
HOU,0,116,0,0,0,0,0,111,0,116,0,0,0,0,0,109,0,0,0,0,110,0,0,0,0,0,105,0,0,0
DET,0,108,100,0,0,108,0,0,111,0,0,0,0,0,0,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0
GSW,0,0,0,0,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,0
IND,0,0,0,0,0,0,0,0,105,0,0,0,0,0,0,91,0,0,0,0,0,92,0,0,0,0,111,0,0,0
LAC,0,0,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LAL,102,0,0,0,0,0,0,0,0,0,0,0,0,0,114,0,0,113,0,0,0,0,0,0,102,109,125,0,0,0
MEM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,0
MIA,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,104,0,0,100,0,0,0,113,0,114,0,0
MIL,0,0,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,97,0,90,0,0,105,0,0
MIN,0,0,0,0,96,119,0,0,0,0,115,0,0,0,0,0,0,0,0,0,110,0,0,0,0,0,0,0,0,0
NOP,0,0,0,107,0,0,118,111,0,0,125,0,0,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NYK,0,0,0,112,0,0,110,0,0,0,0,0,0,0,0,0,119,0,0,0,125,133,0,0,0,0,0,128,0,0
OKC,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,110,0,0,0,0,0,0,0,0,0,0,0
ORL,0,0,0,119,0,0,0,0,0,0,0,0,0,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,0,94
PHO,0,0,0,0,0,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POR,0,0,0,0,0,0,0,0,121,0,0,0,109,107,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0
SAC,0,0,0,0,0,0,0,0,0,0,0,0,0,99,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAS,0,0,0,0,108,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TOR,0,0,0,0,77,117,0,0,0,0,0,0,0,0,0,0,115,0,0,112,0,0,0,0,0,0,0,0,0,0
UTA,0,0,90,0,0,0,0,0,0,0,0,126,0,0,122,0,0,0,0,0,116,0,0,0,0,0,116,0,0,0
WAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,0,0,0,0,0,0,0,0,0,0,0
